"Perioden";"Regio's";"Bevolking/Bevolkingssamenstelling op 1 januari/Totale bevolking (aantal)";"Bevolking/Bevolkingssamenstelling op 1 januari/Bevolkingsdichtheid (aantal inwoners per km²)"
"2022";"Alphen en Riel";;
"2023";"Alphen en Riel";;
"2020";"Alphen-Chaam";10203;110
"2021";"Alphen-Chaam";10373;111
"2022";"Alphen-Chaam";10425;112
"2023";"Alphen-Chaam";10463;113
"2020";"Altena";55967;279
"2021";"Altena";56352;281
"2022";"Altena";57009;285
"2023";"Altena";57726;289
"2020";"Ambt Delden";;
"2021";"Ambt Delden";;
"2022";"Ambt Delden";;
"2023";"Ambt Delden";;
"2020";"Ambt Montfort";;
"2021";"Ambt Montfort";;
"2022";"Ambt Montfort";;
"2023";"Ambt Montfort";;
"2020";"Ameland";3716;63
"2021";"Ameland";3746;63
"2022";"Ameland";3757;66
"2023";"Ameland";3840;68
"2020";"Amerongen";;
"2021";"Amerongen";;
"2022";"Amerongen";;
"2023";"Amerongen";;
"2020";"Amersfoort";157276;2512
"2021";"Amersfoort";157462;2514
"2022";"Amersfoort";158590;2538
"2023";"Amersfoort";160759;2572
"2020";"Ammerzoden";;
"2021";"Ammerzoden";;
"2022";"Ammerzoden";;
"2023";"Ammerzoden";;
"2020";"Amstelveen";91675;2229
"2021";"Amstelveen";90829;2208
"2022";"Amstelveen";92331;2246
"2023";"Amstelveen";94418;2297
"2020";"Amsterdam";872757;5273
"2021";"Amsterdam";873338;5277
"2022";"Amsterdam";882633;5336
"2023";"Amsterdam";918117;4880
"2020";"Andijk";;
"2021";"Andijk";;
"2022";"Andijk";;
"2023";"Andijk";;
"2020";"Angerlo";;
"2021";"Angerlo";;
"2022";"Angerlo";;
"2023";"Angerlo";;
"2020";"Anloo";;
"2021";"Anloo";;
"2022";"Anloo";;
"2023";"Anloo";;
"2020";"Anna Paulowna";;
"2021";"Anna Paulowna";;
"2022";"Anna Paulowna";;
"2023";"Anna Paulowna";;
"2020";"Apeldoorn";163818;482
"2021";"Apeldoorn";164781;485
"2022";"Apeldoorn";165611;487
"2023";"Apeldoorn";167191;492
"2020";"Appingedam";11642;490
"2021";"Appingedam";;
"2022";"Appingedam";;
"2023";"Appingedam";;
"2020";"Arcen en Velden";;
"2021";"Arcen en Velden";;
"2022";"Arcen en Velden";;
"2023";"Arcen en Velden";;
"2020";"Arnemuiden";;
"2021";"Arnemuiden";;
"2022";"Arnemuiden";;
"2023";"Arnemuiden";;
"2020";"Arnhem";161348;1649
"2021";"Arnhem";162424;1660
"2022";"Arnhem";163888;1677
"2023";"Arnhem";165770;1696
"2020";"Assen";68599;838
"2021";"Assen";68836;841
"2022";"Assen";68979;842
"2023";"Assen";69414;848
"2020";"Asten";16721;238
"2021";"Asten";16817;240
"2022";"Asten";17068;243
"2023";"Asten";17242;246
"2020";"Avereest";;
"2021";"Avereest";;
"2022";"Avereest";;
"2023";"Avereest";;
"2020";"Axel";;
"2021";"Axel";;
"2022";"Axel";;
"2023";"Axel";;
"2020";"Baarle-Nassau";6859;90
"2021";"Baarle-Nassau";6899;91
"2022";"Baarle-Nassau";6931;91
"2023";"Baarle-Nassau";7071;93
"2020";"Baarn";24868;764
"2021";"Baarn";24792;762
"2022";"Baarn";24876;764
"2023";"Baarn";25008;769
"2020";"Bakel en Milheeze";;
"2021";"Bakel en Milheeze";;
"2022";"Bakel en Milheeze";;
"2023";"Bakel en Milheeze";;
"2020";"Barendrecht";48714;2467
"2021";"Barendrecht";48643;2463
"2022";"Barendrecht";48714;2488
"2023";"Barendrecht";48812;2493
"2020";"Barneveld";59082;336
"2021";"Barneveld";59992;341
"2022";"Barneveld";60584;345
"2023";"Barneveld";61655;351
"2020";"Bathmen";;
"2021";"Bathmen";;
"2022";"Bathmen";;
"2023";"Bathmen";;
"2020";"Bedum";;
"2021";"Bedum";;
"2022";"Bedum";;
"2023";"Bedum";;
"2020";"Beek (L.)";15865;754
"2021";"Beek (L.)";15875;755
"2022";"Beek (L.)";15817;751
"2023";"Beek (L.)";16132;766
"2020";"Beek en Donk";;
"2021";"Beek en Donk";;
"2022";"Beek en Donk";;
"2023";"Beek en Donk";;
"2020";"Beekdaelen";35938;459
"2021";"Beekdaelen";36065;461
"2022";"Beekdaelen";35922;459
"2023";"Beekdaelen";35966;459
"2020";"Beemster";10022;142
"2021";"Beemster";10110;143
"2022";"Beemster";;
"2023";"Beemster";;
"2020";"Beesel";13482;482
"2021";"Beesel";13450;481
"2022";"Beesel";13408;481
"2023";"Beesel";13449;482
"2020";"Beilen";;
"2021";"Beilen";;
"2022";"Beilen";;
"2023";"Beilen";;
"2020";"Belfeld";;
"2021";"Belfeld";;
"2022";"Belfeld";;
"2023";"Belfeld";;
"2020";"Bellingwedde";;
"2021";"Bellingwedde";;
"2022";"Bellingwedde";;
"2023";"Bellingwedde";;
"2020";"Bemmel";;
"2021";"Bemmel";;
"2022";"Bemmel";;
"2023";"Bemmel";;
"2020";"Bennebroek";;
"2021";"Bennebroek";;
"2022";"Bennebroek";;
"2023";"Bennebroek";;
"2020";"Berg en Dal";34992;405
"2021";"Berg en Dal";35010;406
"2022";"Berg en Dal";34951;405
"2023";"Berg en Dal";35420;410
"2020";"Bergambacht";;
"2021";"Bergambacht";;
"2022";"Bergambacht";;
"2023";"Bergambacht";;
"2020";"Bergeijk";18635;184
"2021";"Bergeijk";18754;186
"2022";"Bergeijk";18879;187
"2023";"Bergeijk";19092;189
"2020";"Bergen (L.)";13085;127
"2021";"Bergen (L.)";13108;127
"2022";"Bergen (L.)";13106;127
"2023";"Bergen (L.)";13119;127
"2020";"Bergen (NH.)";29839;302
"2021";"Bergen (NH.)";29715;300
"2022";"Bergen (NH.)";29723;300
"2023";"Bergen (NH.)";30138;304
"2020";"Bergen op Zoom";67496;844
"2021";"Bergen op Zoom";67514;844
"2022";"Bergen op Zoom";67894;849
"2023";"Bergen op Zoom";68864;861
"2020";"Bergeyk";;
"2021";"Bergeyk";;
"2022";"Bergeyk";;
"2023";"Bergeyk";;
"2020";"Bergh";;
"2021";"Bergh";;
"2022";"Bergh";;
"2023";"Bergh";;
"2020";"Bergschenhoek";;
"2021";"Bergschenhoek";;
"2022";"Bergschenhoek";;
"2023";"Bergschenhoek";;
"2020";"Berkel en Rodenrijs";;
"2021";"Berkel en Rodenrijs";;
"2022";"Berkel en Rodenrijs";;
"2023";"Berkel en Rodenrijs";;
"2020";"Berkel-Enschot";;
"2021";"Berkel-Enschot";;
"2022";"Berkel-Enschot";;
"2023";"Berkel-Enschot";;
"2020";"Berkelland";43747;170
"2021";"Berkelland";43846;170
"2022";"Berkelland";43850;170
"2023";"Berkelland";44022;171
"2020";"Berlicum";;
"2021";"Berlicum";;
"2022";"Berlicum";;
"2023";"Berlicum";;
"2020";"Bernheze";31240;348
"2021";"Bernheze";31455;351
"2022";"Bernheze";31715;353
"2023";"Bernheze";32263;360
"2020";"Bernisse";;
"2021";"Bernisse";;
"2022";"Bernisse";;
"2023";"Bernisse";;
"2020";"Best";29988;874
"2021";"Best";30216;881
"2022";"Best";30608;903
"2023";"Best";30897;912
"2020";"Beuningen";25890;593
"2021";"Beuningen";26157;599
"2022";"Beuningen";26235;602
"2023";"Beuningen";26573;609
"2020";"Beverwijk";41626;2262
"2021";"Beverwijk";41863;2275
"2022";"Beverwijk";42084;2293
"2023";"Beverwijk";42711;2327
"2020";"het Bildt";;
"2021";"het Bildt";;
"2022";"het Bildt";;
"2023";"het Bildt";;
"2020";"De Bilt";43137;652
"2021";"De Bilt";43384;656
"2022";"De Bilt";43508;657
"2023";"De Bilt";43884;663
"2020";"Binnenmaas";;
"2021";"Binnenmaas";;
"2022";"Binnenmaas";;
"2023";"Binnenmaas";;
"2020";"Bladel";20390;271
"2021";"Bladel";20529;273
"2022";"Bladel";20718;275
"2023";"Bladel";21009;279
"2020";"Bladel en Netersel";;
"2021";"Bladel en Netersel";;
"2022";"Bladel en Netersel";;
"2023";"Bladel en Netersel";;
"2020";"Blaricum";11540;1038
"2021";"Blaricum";11954;1076
"2022";"Blaricum";12359;1116
"2023";"Blaricum";12490;1128
"2020";"Bleiswijk";;
"2021";"Bleiswijk";;
"2022";"Bleiswijk";;
"2023";"Bleiswijk";;
"2020";"Bloemendaal";23571;592
"2021";"Bloemendaal";23478;590
"2022";"Bloemendaal";23732;597
"2023";"Bloemendaal";23922;602
"2020";"Boarnsterhim";;
"2021";"Boarnsterhim";;
"2022";"Boarnsterhim";;
"2023";"Boarnsterhim";;
"2020";"Bodegraven";;
"2021";"Bodegraven";;
"2022";"Bodegraven";;
"2023";"Bodegraven";;
"2020";"Bodegraven-Reeuwijk";34872;463
"2021";"Bodegraven-Reeuwijk";35278;468
"2022";"Bodegraven-Reeuwijk";35752;474
"2023";"Bodegraven-Reeuwijk";36308;482
"2020";"Boekel";10785;313
"2021";"Boekel";10959;318
"2022";"Boekel";11030;320
"2023";"Boekel";11163;324
"2020";"Ten Boer";;
"2021";"Ten Boer";;
"2022";"Ten Boer";;
"2023";"Ten Boer";;
"2020";"Bolsward";;
"2021";"Bolsward";;
"2022";"Bolsward";;
"2023";"Bolsward";;
"2020";"Borculo";;
"2021";"Borculo";;
"2022";"Borculo";;
"2023";"Borculo";;
"2020";"Borger";;
"2021";"Borger";;
"2022";"Borger";;
"2023";"Borger";;
"2020";"Borger-Odoorn";25559;93
"2021";"Borger-Odoorn";25598;93
"2022";"Borger-Odoorn";25681;93
"2023";"Borger-Odoorn";25919;94
"2020";"Born";;
"2021";"Born";;
"2022";"Born";;
"2023";"Born";;
"2020";"Borne";23312;897
"2021";"Borne";23668;910
"2022";"Borne";24007;924
"2023";"Borne";24524;944
"2020";"Borsele";22739;161
"2021";"Borsele";22818;161
"2022";"Borsele";22847;161
"2023";"Borsele";23159;164
"2020";"Boskoop";;
"2021";"Boskoop";;
"2022";"Boskoop";;
"2023";"Boskoop";;
"2020";"Boxmeer";29365;263
"2021";"Boxmeer";29609;266
"2022";"Boxmeer";;
"2023";"Boxmeer";;
"2020";"Boxtel";30801;483
"2021";"Boxtel";32973;477
"2022";"Boxtel";33129;480
"2023";"Boxtel";33748;489
"2020";"Brakel";;
"2021";"Brakel";;
"2022";"Brakel";;
"2023";"Brakel";;
"2020";"Breda";184069;1464
"2021";"Breda";184126;1464
"2022";"Breda";184702;1469
"2023";"Breda";186438;1483
"2020";"Brederwiede";;
"2021";"Brederwiede";;
"2022";"Brederwiede";;
"2023";"Brederwiede";;
"2020";"Breukelen";;
"2021";"Breukelen";;
"2022";"Breukelen";;
"2023";"Breukelen";;
"2020";"Brielle";17271;627
"2021";"Brielle";17439;633
"2022";"Brielle";17704;643
"2023";"Brielle";;
"2020";"Broekhuizen";;
"2021";"Broekhuizen";;
"2022";"Broekhuizen";;
"2023";"Broekhuizen";;
"2020";"Bronckhorst";36055;127
"2021";"Bronckhorst";36087;127
"2022";"Bronckhorst";36077;127
"2023";"Bronckhorst";36277;128
"2020";"Brouwershaven";;
"2021";"Brouwershaven";;
"2022";"Brouwershaven";;
"2023";"Brouwershaven";;
"2020";"Bruinisse";;
"2021";"Bruinisse";;
"2022";"Bruinisse";;
"2023";"Bruinisse";;
"2020";"Brummen";20726;248
"2021";"Brummen";20884;250
"2022";"Brummen";20890;250
"2023";"Brummen";21105;252
"2020";"Brunssum";27821;1613
"2021";"Brunssum";27670;1604
"2022";"Brunssum";27674;1605
"2023";"Brunssum";27682;1606
"2020";"Budel";;
"2021";"Budel";;
"2022";"Budel";;
"2023";"Budel";;
"2020";"Bunnik";15191;411
"2021";"Bunnik";15341;415
"2022";"Bunnik";15590;422
"2023";"Bunnik";16026;434
"2020";"Bunschoten";21866;720
"2021";"Bunschoten";22019;725
"2022";"Bunschoten";22325;735
"2023";"Bunschoten";22500;740
"2020";"Buren";26749;200
"2021";"Buren";27009;202
"2022";"Buren";27155;203
"2023";"Buren";27725;208
"2020";"Bussum";;
"2021";"Bussum";;
"2022";"Bussum";;
"2023";"Bussum";;
"2020";"Capelle aan den IJssel";67122;4747
"2021";"Capelle aan den IJssel";67319;4761
"2022";"Capelle aan den IJssel";67188;4751
"2023";"Capelle aan den IJssel";67552;4777
"2020";"Castricum";35986;724
"2021";"Castricum";36086;726
"2022";"Castricum";36263;730
"2023";"Castricum";36345;732
"2020";"Chaam";;
"2021";"Chaam";;
"2022";"Chaam";;
"2023";"Chaam";;
"2020";"Coevorden";35297;119
"2021";"Coevorden";35317;119
"2022";"Coevorden";35517;120
"2023";"Coevorden";35700;121
"2020";"Cothen";;
"2021";"Cothen";;
"2022";"Cothen";;
"2023";"Cothen";;
"2020";"Cranendonck";21138;277
"2021";"Cranendonck";21001;275
"2022";"Cranendonck";20669;270
"2023";"Cranendonck";20851;273
"2020";"Cromstrijen";;
"2021";"Cromstrijen";;
"2022";"Cromstrijen";;
"2023";"Cromstrijen";;
"2020";"Cuijk";25130;491
"2021";"Cuijk";25404;497
"2022";"Cuijk";;
"2023";"Cuijk";;
"2020";"Culemborg";28955;989
"2021";"Culemborg";29121;994
"2022";"Culemborg";29397;1004
"2023";"Culemborg";29729;1016
"2020";"Dalen";;
"2021";"Dalen";;
"2022";"Dalen";;
"2023";"Dalen";;
"2020";"Dalfsen";28587;173
"2021";"Dalfsen";28901;175
"2022";"Dalfsen";29162;177
"2023";"Dalfsen";29612;179
"2020";"Dantumadeel";;
"2021";"Dantumadeel";;
"2022";"Dantumadeel";;
"2023";"Dantumadeel";;
"2020";"Dantumadiel";18922;224
"2021";"Dantumadiel";18943;224
"2022";"Dantumadiel";18957;224
"2023";"Dantumadiel";19194;227
"2020";"Delft";103595;4573
"2021";"Delft";103581;4572
"2022";"Delft";104572;4614
"2023";"Delft";106086;4681
"2020";"Delfzijl";24678;185
"2021";"Delfzijl";;
"2022";"Delfzijl";;
"2023";"Delfzijl";;
"2020";"Denekamp";;
"2021";"Denekamp";;
"2022";"Denekamp";;
"2023";"Denekamp";;
"2020";"Deurne";32471;278
"2021";"Deurne";32437;277
"2022";"Deurne";32606;279
"2023";"Deurne";32977;282
"2020";"Deventer";100719;771
"2021";"Deventer";101236;775
"2022";"Deventer";101446;777
"2023";"Deventer";102781;787
"2020";"Didam";;
"2021";"Didam";;
"2022";"Didam";;
"2023";"Didam";;
"2020";"Diemen";30780;2566
"2021";"Diemen";31334;2612
"2022";"Diemen";31822;2664
"2023";"Diemen";32785;2744
"2020";"Diepenheim";;
"2021";"Diepenheim";;
"2022";"Diepenheim";;
"2023";"Diepenheim";;
"2020";"Diepenveen";;
"2021";"Diepenveen";;
"2022";"Diepenveen";;
"2023";"Diepenveen";;
"2020";"Diessen";;
"2021";"Diessen";;
"2022";"Diessen";;
"2023";"Diessen";;
"2020";"Diever";;
"2021";"Diever";;
"2022";"Diever";;
"2023";"Diever";;
"2020";"Dijk en Waard";;
"2021";"Dijk en Waard";;
"2022";"Dijk en Waard";87695;1417
"2023";"Dijk en Waard";88985;1438
"2020";"Dinkelland";26461;151
"2021";"Dinkelland";26606;151
"2022";"Dinkelland";26594;151
"2023";"Dinkelland";26743;152
"2020";"Dinteloord en Prinsenland";;
"2021";"Dinteloord en Prinsenland";;
"2022";"Dinteloord en Prinsenland";;
"2023";"Dinteloord en Prinsenland";;
"2020";"Dinxperlo";;
"2021";"Dinxperlo";;
"2022";"Dinxperlo";;
"2023";"Dinxperlo";;
"2020";"Dirksland";;
"2021";"Dirksland";;
"2022";"Dirksland";;
"2023";"Dirksland";;
"2020";"Dodewaard";;
"2021";"Dodewaard";;
"2022";"Dodewaard";;
"2023";"Dodewaard";;
"2020";"Doesburg";11077;961
"2021";"Doesburg";11064;960
"2022";"Doesburg";11036;955
"2023";"Doesburg";11081;959
"2020";"Doetinchem";58001;734
"2021";"Doetinchem";58270;737
"2022";"Doetinchem";58546;741
"2023";"Doetinchem";59195;749
"2020";"Domburg";;
"2021";"Domburg";;
"2022";"Domburg";;
"2023";"Domburg";;
"2020";"Dongen";26222;897
"2021";"Dongen";26368;902
"2022";"Dongen";26483;906
"2023";"Dongen";27200;930
"2020";"Dongeradeel";;
"2021";"Dongeradeel";;
"2022";"Dongeradeel";;
"2023";"Dongeradeel";;
"2020";"Doorn";;
"2021";"Doorn";;
"2022";"Doorn";;
"2023";"Doorn";;
"2020";"Dordrecht";119284;1519
"2021";"Dordrecht";119115;1517
"2022";"Dordrecht";119537;1541
"2023";"Dordrecht";121434;1566
"2020";"Drechterland";19719;335
"2021";"Drechterland";19838;337
"2022";"Drechterland";19983;339
"2023";"Drechterland";20385;346
"2020";"Driebergen-Rijsenburg";;
"2021";"Driebergen-Rijsenburg";;
"2022";"Driebergen-Rijsenburg";;
"2023";"Driebergen-Rijsenburg";;
"2020";"Drimmelen";27272;287
"2021";"Drimmelen";27325;287
"2022";"Drimmelen";27476;289
"2023";"Drimmelen";27994;295
"2020";"Dronten";41555;125
"2021";"Dronten";42011;126
"2022";"Dronten";42865;128
"2023";"Dronten";43593;131
"2020";"Drunen";;
"2021";"Drunen";;
"2022";"Drunen";;
"2023";"Drunen";;
"2020";"Druten";18926;503
"2021";"Druten";18991;505
"2022";"Druten";19178;511
"2023";"Druten";19505;520
"2020";"Duiveland";;
"2021";"Duiveland";;
"2022";"Duiveland";;
"2023";"Duiveland";;
"2020";"Duiven";25126;741
"2021";"Duiven";25066;739
"2022";"Duiven";24946;736
"2023";"Duiven";24937;736
"2020";"Den Dungen";;
"2021";"Den Dungen";;
"2022";"Den Dungen";;
"2023";"Den Dungen";;
"2020";"Dussen";;
"2021";"Dussen";;
"2022";"Dussen";;
"2023";"Dussen";;
"2020";"Dwingeloo";;
"2021";"Dwingeloo";;
"2022";"Dwingeloo";;
"2023";"Dwingeloo";;
"2020";"Echt";;
"2021";"Echt";;
"2022";"Echt";;
"2023";"Echt";;
"2020";"Echteld";;
"2021";"Echteld";;
"2022";"Echteld";;
"2023";"Echteld";;
"2020";"Echt-Susteren";31610;307
"2021";"Echt-Susteren";31751;308
"2022";"Echt-Susteren";31731;308
"2023";"Echt-Susteren";31967;310
"2020";"Edam-Volendam";36197;666
"2021";"Edam-Volendam";36268;668
"2022";"Edam-Volendam";36471;671
"2023";"Edam-Volendam";36760;677
"2020";"Ede";117165;368
"2021";"Ede";118530;373
"2022";"Ede";119986;377
"2023";"Ede";122012;384
"2020";"Eelde";;
"2021";"Eelde";;
"2022";"Eelde";;
"2023";"Eelde";;
"2020";"Eemnes";9247;298
"2021";"Eemnes";9362;302
"2022";"Eemnes";9450;304
"2023";"Eemnes";9598;309
"2020";"Eemsdelta";;
"2021";"Eemsdelta";45587;170
"2022";"Eemsdelta";45389;169
"2023";"Eemsdelta";45394;169
"2020";"Eemsmond";;
"2021";"Eemsmond";;
"2022";"Eemsmond";;
"2023";"Eemsmond";;
"2020";"Eersel";19313;234
"2021";"Eersel";19528;237
"2022";"Eersel";19823;240
"2023";"Eersel";20004;243
"2020";"Egmond";;
"2021";"Egmond";;
"2022";"Egmond";;
"2023";"Egmond";;
"2020";"Eibergen";;
"2021";"Eibergen";;
"2022";"Eibergen";;
"2023";"Eibergen";;
"2020";"Eijsden";;
"2021";"Eijsden";;
"2022";"Eijsden";;
"2023";"Eijsden";;
"2020";"Eijsden-Margraten";25768;332
"2021";"Eijsden-Margraten";25900;334
"2022";"Eijsden-Margraten";25857;333
"2023";"Eijsden-Margraten";25991;335
"2020";"Eindhoven";234394;2674
"2021";"Eindhoven";235691;2689
"2022";"Eindhoven";238326;2708
"2023";"Eindhoven";243730;2769
"2020";"Elburg";23161;363
"2021";"Elburg";23429;367
"2022";"Elburg";23740;372
"2023";"Elburg";24037;377
"2020";"Elst";;
"2021";"Elst";;
"2022";"Elst";;
"2023";"Elst";;
"2020";"Emmen";107048;319
"2021";"Emmen";107024;319
"2022";"Emmen";107856;322
"2023";"Emmen";108765;324
"2020";"Enkhuizen";18591;1466
"2021";"Enkhuizen";18637;1469
"2022";"Enkhuizen";18620;1470
"2023";"Enkhuizen";18885;1491
"2020";"Enschede";159640;1134
"2021";"Enschede";159732;1134
"2022";"Enschede";160640;1141
"2023";"Enschede";161235;1146
"2020";"Epe";33178;213
"2021";"Epe";33198;213
"2022";"Epe";33257;213
"2023";"Epe";33283;213
"2020";"Ermelo";27008;315
"2021";"Ermelo";27016;315
"2022";"Ermelo";27258;318
"2023";"Ermelo";27496;321
"2020";"Esch";;
"2021";"Esch";;
"2022";"Esch";;
"2023";"Esch";;
"2020";"Etten-Leur";43878;793
"2021";"Etten-Leur";43869;793
"2022";"Etten-Leur";44152;799
"2023";"Etten-Leur";44578;806
"2020";"Ferwerderadeel";;
"2021";"Ferwerderadeel";;
"2022";"Ferwerderadeel";;
"2023";"Ferwerderadeel";;
"2020";"Ferwerderadiel";;
"2021";"Ferwerderadiel";;
"2022";"Ferwerderadiel";;
"2023";"Ferwerderadiel";;
"2020";"Fijnaart en Heijningen";;
"2021";"Fijnaart en Heijningen";;
"2022";"Fijnaart en Heijningen";;
"2023";"Fijnaart en Heijningen";;
"2020";"Franekeradeel";;
"2021";"Franekeradeel";;
"2022";"Franekeradeel";;
"2023";"Franekeradeel";;
"2020";"De Friese Meren";;
"2021";"De Friese Meren";;
"2022";"De Friese Meren";;
"2023";"De Friese Meren";;
"2020";"De Fryske Marren";51564;147
"2021";"De Fryske Marren";51778;147
"2022";"De Fryske Marren";51597;147
"2023";"De Fryske Marren";51992;148
"2020";"Gaasterlân-Sleat";;
"2021";"Gaasterlân-Sleat";;
"2022";"Gaasterlân-Sleat";;
"2023";"Gaasterlân-Sleat";;
"2020";"Gasselte";;
"2021";"Gasselte";;
"2022";"Gasselte";;
"2023";"Gasselte";;
"2020";"Geertruidenberg";21544;809
"2021";"Geertruidenberg";21770;817
"2022";"Geertruidenberg";21944;825
"2023";"Geertruidenberg";22099;831
"2020";"Geldermalsen";;
"2021";"Geldermalsen";;
"2022";"Geldermalsen";;
"2023";"Geldermalsen";;
"2020";"Geldrop";;
"2021";"Geldrop";;
"2022";"Geldrop";;
"2023";"Geldrop";;
"2020";"Geldrop-Mierlo";39726;1281
"2021";"Geldrop-Mierlo";40066;1292
"2022";"Geldrop-Mierlo";40131;1294
"2023";"Geldrop-Mierlo";40441;1304
"2020";"Geleen";;
"2021";"Geleen";;
"2022";"Geleen";;
"2023";"Geleen";;
"2020";"Gemert";;
"2021";"Gemert";;
"2022";"Gemert";;
"2023";"Gemert";;
"2020";"Gemert-Bakel";30723;252
"2021";"Gemert-Bakel";30760;252
"2022";"Gemert-Bakel";31040;254
"2023";"Gemert-Bakel";31383;257
"2020";"Gendringen";;
"2021";"Gendringen";;
"2022";"Gendringen";;
"2023";"Gendringen";;
"2020";"Gendt";;
"2021";"Gendt";;
"2022";"Gendt";;
"2023";"Gendt";;
"2020";"Genemuiden";;
"2021";"Genemuiden";;
"2022";"Genemuiden";;
"2023";"Genemuiden";;
"2020";"Gennep";16921;355
"2021";"Gennep";17035;358
"2022";"Gennep";17237;362
"2023";"Gennep";17764;373
"2020";"Giessenlanden";;
"2021";"Giessenlanden";;
"2022";"Giessenlanden";;
"2023";"Giessenlanden";;
"2020";"Gieten";;
"2021";"Gieten";;
"2022";"Gieten";;
"2023";"Gieten";;
"2020";"Gilze en Rijen";26431;404
"2021";"Gilze en Rijen";26723;409
"2022";"Gilze en Rijen";26557;406
"2023";"Gilze en Rijen";26815;410
"2020";"Goedereede";;
"2021";"Goedereede";;
"2022";"Goedereede";;
"2023";"Goedereede";;
"2020";"Goeree-Overflakkee";50049;192
"2021";"Goeree-Overflakkee";50589;194
"2022";"Goeree-Overflakkee";51051;195
"2023";"Goeree-Overflakkee";51590;197
"2020";"Goes";38082;411
"2021";"Goes";38594;417
"2022";"Goes";38950;421
"2023";"Goes";39433;426
"2020";"Goirle";23904;556
"2021";"Goirle";23952;557
"2022";"Goirle";23979;558
"2023";"Goirle";24177;563
"2020";"Gooise Meren";58055;1396
"2021";"Gooise Meren";58524;1407
"2022";"Gooise Meren";58846;1419
"2023";"Gooise Meren";60341;1456
"2020";"Goor";;
"2021";"Goor";;
"2022";"Goor";;
"2023";"Goor";;
"2020";"Gorinchem";37022;1966
"2021";"Gorinchem";37410;1987
"2022";"Gorinchem";37632;2011
"2023";"Gorinchem";38461;2055
"2020";"Gorssel";;
"2021";"Gorssel";;
"2022";"Gorssel";;
"2023";"Gorssel";;
"2020";"Gouda";73427;4449
"2021";"Gouda";73681;4464
"2022";"Gouda";74095;4491
"2023";"Gouda";75316;4565
"2020";"Graafstroom";;
"2021";"Graafstroom";;
"2022";"Graafstroom";;
"2023";"Graafstroom";;
"2020";"Graft-De Rijp";;
"2021";"Graft-De Rijp";;
"2022";"Graft-De Rijp";;
"2023";"Graft-De Rijp";;
"2020";"Gramsbergen";;
"2021";"Gramsbergen";;
"2022";"Gramsbergen";;
"2023";"Gramsbergen";;
"2020";"Grave";12436;457
"2021";"Grave";12486;459
"2022";"Grave";;
"2023";"Grave";;
"2020";"'s-Graveland";;
"2021";"'s-Graveland";;
"2022";"'s-Graveland";;
"2023";"'s-Graveland";;
"2020";"'s-Gravendeel";;
"2021";"'s-Gravendeel";;
"2022";"'s-Gravendeel";;
"2023";"'s-Gravendeel";;
"2020";"'s-Gravenhage (gemeente)";545838;6620
"2021";"'s-Gravenhage (gemeente)";548320;6650
"2022";"'s-Gravenhage (gemeente)";553417;6712
